Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,,,,,,,,,,
2,LM338T,Texas Instruments,LM338T/NOPB,https://octopart.com/lm338t%2Fnopb-texas+instruments-24813740,"U6, U7",,Voltage Regulaor GHL,2,LM338T/NOPB-ND,LM338T/NOPB,LM338T/NOPB,Tube,,Tube,2.1,1.9171,2.1,5030,3781,7757,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=029a2c3&sid=459&ppid=24813740&vpid=57503683&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0b9b1eb&sid=1106&ppid=24813740&vpid=473490138&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=02bd49d&sid=2401&ppid=24813740&vpid=57204666&ct=offers,Rochester Electronics,LM338T/NOPB,,1.3,2.6,2.6,2,,https://octopart.com/click/track?ak=68b25f31&sig=08dd519&sid=5832&ppid=24813740&vpid=188217406&ct=offers,
1,LM340MP-5.0,Texas Instruments,LM340MP-5.0,https://octopart.com/lm340mp-5.0-texas+instruments-24813788,U5,,"Series 3-Terminal Positive Regulators, 4-pin SOT-223",1,296-35905-1-ND,LM340MP-5.0,LM340MP-5.0,Cut Tape,Cut Tape,,1.7,,,7425,0,850,1,1000,1000,https://octopart.com/click/track?ak=68b25f31&sig=0388b20&sid=459&ppid=24813788&vpid=78033728&ct=offers,https://octopart.com/click/track?c=1&ak=68b25f31&sig=03d8c70&sid=1106&ppid=24813788&vpid=473490212&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0c3d94e&sid=2401&ppid=24813788&vpid=57204724&ct=offers,Freelance Electronics,LM340MP-5.0,,0.67558,0.67558,0.67558,1460,,https://octopart.com/click/track?ak=68b25f31&sig=08d8426&sid=13062&ppid=24813788&vpid=46182475&ct=offers,
1,AD5248BRMZ10,Analog Devices,AD5248BRMZ10,https://octopart.com/ad5248brmz10-analog+devices-446757,U3,,Digital Potentiometer 10kOhm 256POS Volatile Automotive 10-Pin MSOP Tube,1,AD5248BRMZ10-ND,AD5248BRMZ10,AD5248BRMZ10,Tube,,Tube,2.73,2.269,2.6,1602,8,281,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=078d625&sid=459&ppid=446757&vpid=1701280&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0f01ee4&sid=1106&ppid=446757&vpid=473139883&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0a2c9e9&sid=2401&ppid=446757&vpid=77165025&ct=offers,Rochester Electronics,AD5248BRMZ10,,2.06,2.06,2.06,100,,https://octopart.com/click/track?ak=68b25f31&sig=0fc25b7&sid=5832&ppid=446757&vpid=239352101&ct=offers,
1,L298N,STMicroelectronics,L298N,https://octopart.com/l298n-stmicroelectronics-468196,U2,,L298 Series 46 V 2 A Dual Full Bridge Driver Vertical - Multiwatt-15,1,497-1395-5-ND,L298N,L298N,Tube,,,4.86,3.8525,4.86,12938,3075,6264,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=018f7b8&sid=459&ppid=468196&vpid=1604988&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=061329c&sid=1106&ppid=468196&vpid=15157856&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=01cf55a&sid=2401&ppid=468196&vpid=37661576&ct=offers,Freelance Electronics,L298N,,2.09563,2.09563,2.09563,20,,https://octopart.com/click/track?ak=68b25f31&sig=063719a&sid=13062&ppid=468196&vpid=198959292&ct=offers,
1,ATMEGA328PB-AUR,Microchip,ATMEGA328PB-AUR,https://octopart.com/atmega328pb-aur-microchip-77760229,U1,,"Avr 32kb f , 1kb Eeprom, 2kb Ram, - 20mhz, Tqfp, Ind Temp, Green 5 v t&r",1,ATMEGA328PB-AURCT-ND,ATMEGA328PB-AUR,ATMEGA328PB-AUR,Cut Tape,Cut Tape,,1.46,1.41,,8550,1223,2875,1,1,10000,https://octopart.com/click/track?ak=68b25f31&sig=0df384a&sid=459&ppid=77760229&vpid=408716902&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=02b48a5&sid=1106&ppid=77760229&vpid=473293439&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0b8f1ca&sid=2401&ppid=77760229&vpid=408978613&ct=offers,"Arrow Electronics, Inc.",ATMEGA328PB-AUR,Cut Tape,1.41,1.41,1.41,1223,1,https://octopart.com/click/track?ak=68b25f31&sig=02b48a5&sid=1106&ppid=77760229&vpid=473293439&ct=offers,
1,B3SN-3112P,Omron,B3SN-3112P,https://octopart.com/b3sn-3112p-omron-913851,S1,,Switch Tactile N.O. SPST Round Button J-Bend 0.05A 24VDC 50000Cycles 1.57N SMD Embossed Tape,1,SW262CT-ND,B3SN-3112P,B3SN-3112P,Cut Tape,Cut Tape,,1.06,0.6944,0.72,51640,2776,12012,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0946497&sid=459&ppid=913851&vpid=2026215&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=085ffdc&sid=1106&ppid=913851&vpid=476784123&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0149b73&sid=2401&ppid=913851&vpid=39233900&ct=offers,"Arrow Electronics, Inc.",B3SN-3112P,Cut Tape,0.6944,0.6944,0.6944,2776,1,https://octopart.com/click/track?ak=68b25f31&sig=085ffdc&sid=1106&ppid=913851&vpid=476784123&ct=offers,
4,ERJ-3EKF5600V,Panasonic,ERJ-3EKF5600V,https://octopart.com/erj-3ekf5600v-panasonic-9251102,"R12, R13, R14, R15",,"Chip Resistor, 560 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",4,P560HCT-ND,ERJ-3EKF5600V,ERJ-3EKF5600V,Cut Tape,Cut Tape,,0.1,0.095,0.27,415811,36825,87834,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=061f056&sid=459&ppid=9251102&vpid=115259613&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=07e7732&sid=1106&ppid=9251102&vpid=473400454&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0ad4cdb&sid=2401&ppid=9251102&vpid=115534637&ct=offers,Quest,ERJ3EKF5600V,,0.027,0.108,0.108,7127,,https://octopart.com/click/track?ak=68b25f31&sig=018c32e&sid=2412&ppid=9251102&vpid=195923668&ct=offers,
2,ERJ-3EKF1002V,Panasonic,ERJ-3EKF1002V,https://octopart.com/erj-3ekf1002v-panasonic-55403647,"R5, R6",,RES SMD 10K OHM 1% 1/10W 0603,2,P10.0KHCT-ND,ERJ-3EKF1002V,ERJ-3EKF1002V,Cut Tape,Cut Tape,,0.1,0.095,0.27,18173664,29413,2487740,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=055b21f&sid=459&ppid=55403647&vpid=188060332&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0d7e0bc&sid=1106&ppid=55403647&vpid=476839053&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0707dfa&sid=2401&ppid=55403647&vpid=187839574&ct=offers,Future Electronics,ERJ-3EKF1002V-CUTT,Cut Tape,0.018,0.036,0.036,4700,1,https://octopart.com/click/track?ak=68b25f31&sig=0b451ff&sid=2454&ppid=55403647&vpid=504251646&ct=offers,
3,ERJ-3EKF3300V,Panasonic,ERJ-3EKF3300V,https://octopart.com/erj-3ekf3300v-panasonic-9251137,"R2, R3, R4",,"Chip Resistor, 330 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",3,P330HCT-ND,ERJ-3EKF3300V,ERJ-3EKF3300V,Cut Tape,Cut Tape,,0.1,0.0152,0.27,3160660,45080,526475,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0353c2a&sid=459&ppid=9251137&vpid=115259550&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=076005e&sid=1106&ppid=9251137&vpid=476784221&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=06e992b&sid=2401&ppid=9251137&vpid=115231424&ct=offers,"Arrow Electronics, Inc.",ERJ-3EKF3300V,Cut Tape,0.0152,0.0456,0.0456,45080,1,https://octopart.com/click/track?ak=68b25f31&sig=076005e&sid=1106&ppid=9251137&vpid=476784221&ct=offers,
